sample-id,Locality,Elevation ,WaterTemp,WaterPH,DO,MeanMaxTemp,MeanMinTemp,Precipitation,GeneticCluster,WaterTemp_mean,WaterPH_mean,DO_mean,BdLog,BodyCondition,MLH,Fis,BdPresence,BdPrev,PC1,Morphotype,Morphotype_tassel
AlVC08,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,3.60402117,13.59585091,0.406031058,0.04408,1,100,-179.6346741,Non-metamorphic,0
AlVC09,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,2.404021844,7.875498651,0.408522932,0.05076,1,100,-181.4170933,Non-metamorphic,0
AlVC10,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,3.010576061,10.72696393,0.411448176,0.03456,1,100,-177.1633199,Non-metamorphic,0
AlVC11,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,2.68216174,10.21640483,0.407746479,0.04127,1,100,-172.6490611,Non-metamorphic,0
AlVC12,E,2744,18.4,8,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,2.70633222,9.737810412,0.420007223,0.005455,1,100,-178.5775059,Metamorphic,1
AlVC13,E,2744,18.4,8,109.2,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,3.040092148,10.39682717,0.441133983,-0.1908,1,100,-192.9415038,Non-metamorphic,0
AlVC14,E,2744,18.4,8,109.2,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,5.077439062,12.05222889,0.419989166,-0.005435,1,100,-183.1548841,Non-metamorphic,0
AlVC15,E,2744,18.4,8,109.2,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,2.750331686,10.41871572,0.424106176,-0.02676,1,100,-183.1193004,Non-metamorphic,0
AlVC16,E,2744,18.4,8,109.2,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,5.118165697,11.11329676,0.409552185,0.01801,1,100,-174.5358898,Metamorphic,1
AlVC17,E,2744,18.4,8,109.2,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,3.963554699,10.62110032,0.416775009,-0.002058,1,100,-176.3800677,Non-metamorphic,0
AlVC18,E,2744,18.8,8.3,109.2,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,3.682344416,12.48661504,0.415456844,0.04848,1,100,-180.9747943,Non-metamorphic,0
AlVC19,E,2744,18.8,8.3,109.8,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,2.561764473,11.18276844,0.410798122,0.01752,1,100,-176.9003231,Non-metamorphic,0
AlVC20,E,2744,18.8,8.3,109.8,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,0,13.40870492,0.442434092,-0.2054,0,100,-192.3964706,Non-metamorphic,0
AlVC21,E,2744,18.8,8.3,109.8,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,4.069121286,12.91310238,0.414301192,0.009363,1,100,-171.1736803,Non-metamorphic,0
AlO01,B,3433,9.715,6.63,109.8,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,3.834008732,8.513818773,0.386222463,0.07098,1,70,64.73521415,Metamorphic,1
AlO02,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,3.520280062,6.643013142,0.386728061,0.04704,1,70,62.41488608,Non-metamorphic,0
AlO03,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,2.077078657,8.19021753,0.378620441,0.1574,1,70,70.0574075,Metamorphic,1
AlO04,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,0,11.06909615,0.402943301,-0.02289,0,70,63.07703488,Metamorphic,1
AlO05,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,0,8.537678306,0.396785843,0.02568,0,70,52.17066842,Non-metamorphic,0
AlO06,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,3.817821702,6.257395629,0.360491152,0.2635,1,70,65.94704186,Metamorphic,1
AlO07,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,5.525785291,8.045222951,0.38010112,0.09421,1,70,66.46054416,Metamorphic,1
AlO08,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,0,12.65760891,0.387721199,0.04541,0,70,64.13483539,Metamorphic,1
AlO09,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,0,13.49779295,0.389093536,0.1461,0,70,53.96618679,Metamorphic,1
AlO10,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,4.632998623,13.40870492,0.401155652,0.002571,1,70,62.50060081,Non-metamorphic,0
AlO11,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,0,12.14801366,0.37739256,0.154,0,70,61.80852533,Metamorphic,1
AlO12,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,0,7.623324309,0.384886241,0.07542,0,70,63.91971552,Metamorphic,1
AlO13,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,4.595842113,10.24521397,0.386836403,0.06305,1,70,66.2283305,Non-metamorphic,0
AlO14,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,4.003414641,5.363481967,0.392650776,0.01046,1,70,65.70406427,Metamorphic,1
AlO15,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,2.273239691,7.536523327,0.396966414,-0.00756,1,70,61.37822557,Metamorphic,1
AlO16,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,2.646395865,10.67674138,0.406951968,-0.04789,1,70,59.16608968,Metamorphic,1
AlO17,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,2.188677056,7.15130929,0.390646443,0.1013,1,70,65.80096893,Metamorphic,1
AlO18,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,1.94148671,10.17659417,0.395919104,0.04302,1,70,64.82366834,Metamorphic,1
AlO19,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,2.60604142,10.67674138,0.409299386,-0.07039,1,70,66.88099798,Metamorphic,1
AlO20,B,3433,8.692,7.05,90.96,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,3.775806229,8.098675772,0.430462261,-0.2128,1,70,27.90690628,Non-metamorphic,0
AlO21,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,0,8.164566938,0.396081618,0.1304,0,70,57.39493502,Metamorphic,1
AlO22,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,5.348030518,6.748896477,0.3842723,0.1011,1,70,70.40333154,Non-metamorphic,0
AlO23,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,4.388422447,6.748896477,0.389021307,0.1164,1,70,64.15579011,Non-metamorphic,0
AlO24,B,3433,9.715,6.63,103.66,19,5,104.3000031,Organillos,9.672375,6.6475,103.3866667,4.606854523,8.857350856,0.41209823,-0.02957,1,70,63.00102198,Non-metamorphic,0
